Track Name,Artist(s),Album,Release Date,Track URI,Round Name
He Films The Clouds Pt. 2,Maybeshewill,Not for Want of Trying,2008,spotify:track:07nYZZQT49i7yAIs3k3tOe,Recent Favs
Bachibouzook,Arhios,Miscible,2023-03-24,spotify:track:0DSCXGuMRLNwAcNEbMqkFO,Recent Favs
Real Tight,Methyl Ethel,Triage,2019-02-15,spotify:track:0GFSo11nR2QnPBG45UZCSS,Recent Favs
Cariño,The Marías,"Superclean, Vol. II",2018-09-28,spotify:track:16gJmoOqRt2lKmlXtDpWgH,Recent Favs
Caring Is Creepy - 2021 Remaster,The Shins,"Oh, Inverted World (20th Anniversary Remaster)",2001-06-19,spotify:track:1d1Uc9yNUMvUb0RbakGDt0,Recent Favs
Gift Horse,IDLES,Gift Horse,2024-01-17,spotify:track:1FQt0ocGCdDOzqqdpSKKF1,Recent Favs
Hollywood Not,Little Stranger,Trip Around Saturn,2021-11-05,spotify:track:1HYGXoratd5ljR1SN95eFA,Recent Favs
Locking Up the Sun,Poets of the Fall,Carnival of Rust,2006-04-12,spotify:track:1jEPdLuyYDSTRJTuCP9Gpg,Recent Favs
Waiting on You,ENMY,Waiting on You,2023-06-01,spotify:track:28cZfCvvOJelSXj4ZVK3ua,Recent Favs
Hide - Remastered 2015/ Bonus Track,Little May,For The Company,2015-10-09,spotify:track:2BvDk5CaG8SermClU9fdwm,Recent Favs
Hope,Cable Ties,Far Enough,2020-03-27,spotify:track:3iOq7xVyTgimkwhPNtjxZE,Recent Favs
Best Life,Cheekface,Emphatically No.,2021-01-11,spotify:track:3PnyEjKhWYtG8KemMziOIX,Recent Favs
Just Like U Said It Would B,Sinéad O'Connor,Lion and the Cobra,1987-11-04,spotify:track:3SJZbGDZG20DPXmg3jKYj9,Recent Favs
Mouth of the Beast (feat. Ceschi),Kristoff Krane,Fanfaronade,2012-05-22,spotify:track:3w7uU4qbeWHwlOuHoUhWQq,Recent Favs
All I Wanna Do,Sheryl Crow,Tuesday Night Music Club,1993-08-03,spotify:track:3ZpQiJ78LKINrW9SQTgbXd,Recent Favs
Les Champs-Elysées,"Pomplamoose, John Schroeder",En Français,2020-04-17,spotify:track:4dPITmujWbI8ibU1QVidCE,Recent Favs
Carnival Of Sorts (Boxcars),R.E.M.,Chronic Town,1982-08-24,spotify:track:4mKD8O4BwG7iHTDU33i9OG,Recent Favs
Critical Acclaim,Avenged Sevenfold,Avenged Sevenfold,2007-10-26,spotify:track:4VymMhILk4DSwghPkLUPVS,Recent Favs
Amber,311,Greatest Hits '93 - '03,2004-06-08,spotify:track:51UtgWS4z1eMPuLQOzPtNH,Recent Favs
My Name Is Stain,Shaka Ponk,The Geeks and the Jerkin' Socks,2011-06-06,spotify:track:5CGoooF86pFWxjbkIfl5q4,Recent Favs
EUGENE,Glorb,EUGENE,2023-08-12,spotify:track:5efhPREahj4RnQWyVEOikf,Recent Favs
Six Days - Remix,"DJ Shadow, Mos Def",The Fast And The Furious: Tokyo Drift (Original Motion Picture Soundtrack),2006-06-20,spotify:track:5j3QqRGflS4o5jbsFSwKW1,Recent Favs
Part Time Glory,Maribou State,Kingdoms In Colour,2018-09-07,spotify:track:5O8jA5esx67O3FoqKwBjQV,Recent Favs
867-5309 / Jenny,Tommy Tutone,Tommy Tutone - 2,1981-12-04,spotify:track:6iX1f3r7oUJnMbGgQ2gx1j,Recent Favs
Marigolds,Early Eyes,Marigolds,2020-03-17,spotify:track:6jDjdfe7npTAxfwVq2HRfr,Recent Favs
Mind Ecology (with John McLaughlin),"Shakti, John McLaughlin",Natural Elements (with John McLaughlin),1977-10-24,spotify:track:6mPtzWgpJIE1KFsl739xX6,Recent Favs
Sedate Me!,Carnivara,Sedate Me!,2023-12-15,spotify:track:6QYihG9AwQLHD4nYeXGFGb,Recent Favs
Blame Brett,The Beaches,Blame Brett,2023-05-05,spotify:track:7Az7rVogNu6XpLnykVI5fA,Recent Favs
Light,Michael Kiwanuka,KIWANUKA,2019-10-10,spotify:track:7fXDbKX1W7HM1zWLw2Wac2,Recent Favs
Therapy,Budjerah,Therapy,2023-02-08,spotify:track:7MeniYdHjzvKEn8BWzFNI1,Recent Favs
Nearly Forgot My Broken Heart,Chris Cornell,Higher Truth,2015-09-18,spotify:track:7MjRtWS2teufvOiMM0BARZ,Recent Favs
DUMB BELL (A$AP LARRY),Glorb,DUMB BELL (A$AP LARRY),2023-08-26,spotify:track:7mRg2t84QN1HhtKLE2JCXZ,Recent Favs
Chocolate Salty Balls (P.S. I Love You),"Chef, Isaac Hayes",Chocolate Salty Balls,1998-12-14,spotify:track:0cfoqRqlhFZbkCUuPb3J8P,Comedy Open Mic Night
She's So Nice,Pink Guy,Pink Season,2017-01-04,spotify:track:0Dfctnkk9xIikDKJ06uwzo,Comedy Open Mic Night
"This Is Not a Song, It's a Sandwich",Psychostick,Sandwich,2009-05-05,spotify:track:0EdL74JcmrL0FNIIyh1UFV,Comedy Open Mic Night
Danny Don't You Know,Ninja Sex Party,Cool Patrol,2018-08-17,spotify:track:0M3p3iW0r4euqeYEFuNO9G,Comedy Open Mic Night
Bustin,Neil Cicierega Archive,Bustin,2015-04-01,spotify:track:0zMgyWRfTJXZxER2DsyvjD,Comedy Open Mic Night
#1 Radio $Ingle,Psychostick,Sandwich,2009-05-05,spotify:track:11JkHfdT3XSrZsXhXKQCua,Comedy Open Mic Night
Chug Jug With You (Number One Victory Royale),LeviathanJPTV,Chug Jug With You (Number One Victory Royale),2021-03-19,spotify:track:15RSD04RKmM1fjrBONNtqK,Comedy Open Mic Night
Girl's Club,Marc Rebillet,Loop Daddy III,2020-10-01,spotify:track:170mkFTG0NPMCxfViQkmRM,Comedy Open Mic Night
Dumb Ways to Die,Tangerine Kitty,Dumb Ways to Die,2012-11-01,spotify:track:180MVaidIYWpB1MSYEv5BI,Comedy Open Mic Night
Natalie's Rap,"The Lonely Island, Natalie Portman, Chris Parnell",Incredibad,2009,spotify:track:1f0VlUeHwIUVa9xkFUCZ9I,Comedy Open Mic Night
Obey the Beard,Psychostick,IV: Revenge of the Vengeance,2014-11-04,spotify:track:1HJkBDfLJk2JDuhVnvgt2K,Comedy Open Mic Night
I'm Australian Man,Hype Duo,I'm Australian Man,2017-02-15,spotify:track:1HQpvtjqtTG0eBFiYJyA99,Comedy Open Mic Night
After Ever After,Jon Cozart,After Ever After,2013-04-10,spotify:track:1NA60PDKDksqpzHgBGauTs,Comedy Open Mic Night
"Down's Syndrome Girl - From ""Family Guy""",Cast - Family Guy,"Down's Syndrome Girl (From ""Family Guy"")",2010,spotify:track:1NfTtVVlnuKlOTiddW6MLc,Comedy Open Mic Night
Fett's Vette,MC Chris,Fett's Vette,2001-01-01,spotify:track:22Y1Gg0uugLCNP48yezX0q,Comedy Open Mic Night
First of May,Jonathan Coulton,JoCo Looks Back,2008-01-01,spotify:track:23ccw9IV7tLWufvZzmZT1D,Comedy Open Mic Night
Parle à ma main (feat. Yelle et Christelle),"Fatal Bazooka, Yelle et Christelle",Parle à ma main (Radio Edit),2007-10-15,spotify:track:2I6beGAMFYryiTpCPAk3uM,Comedy Open Mic Night
Ding Dong Song - Radio Edit,Günther,Pleasure Man,2004-01-11,spotify:track:2LELFaNglE9B5xlcmd4qtQ,Comedy Open Mic Night
Trump’s Private Pilot,Tim Heidecker,Too Dumb for Suicide: Tim Heidecker’s Trump Songs,2017-11-08,spotify:track:2OcfetUUcntevxl4V9snj6,Comedy Open Mic Night
Bo le lavabo,Vincent Lagaf',Bo le lavabo,2023-08-23,spotify:track:3cBEzRJdXjhMp1Foanxrea,Comedy Open Mic Night
All Star,Smash Mouth,Astro Lounge,1999-06-08,spotify:track:3cfOd4CMv2snFaKAnMdnvK,Comedy Open Mic Night
Rooster Song,Fenix TX,Fenix TX,1999-01-01,spotify:track:3o4GG8dduB0nCkQ50DIEF2,Comedy Open Mic Night
Dicked Down in Dallas,Trey Lewis,Dicked Down in Dallas,2020-12-01,spotify:track:3R0l4ivVzkajiNAYH07ZKl,Comedy Open Mic Night
Welcome to The Internet,Bo Burnham,INSIDE,2021-06-10,spotify:track:3s44Qv8x974tm0ueLexMWN,Comedy Open Mic Night
Swarm of Bees,Digiffects Sound Effects Library,Animals & Insects Sounds Effects,2016-02-27,spotify:track:3Vd4joprwtPqqVyd0lSq2i,Comedy Open Mic Night
Seagulls! (Stop It Now),Bad Lip Reading,Seagulls! (Stop It Now),2017-01-01,spotify:track:471sXvN5C5vfMSBdKrGpo7,Comedy Open Mic Night
Werewolf of Steel,Carnal Agony,Back from the Grave,2020-07-10,spotify:track:4JK8P5rAoMWV06rShc1sXG,Comedy Open Mic Night
Tik Tok (Parody),The Midnight Beast,Tik Tok (Parody),2011-03-23,spotify:track:4jobL8u8bt6AObVdhethdy,Comedy Open Mic Night
Shark Reggae,The Key of Awesome,Reggae Shark,2014-08-28,spotify:track:4jvxHT21eXgvjiPtCxH7Mx,Comedy Open Mic Night
Olivia,Wolves of Glendale,Olivia,2022-12-02,spotify:track:546suQTzxF3CjED8AmkP54,Comedy Open Mic Night
The Remedy,Puscifer,Money Shot,2015,spotify:track:5pK4elvBpzeAk8amFG3NVN,Comedy Open Mic Night
Family Reunion - Live/1999,blink-182,"The Mark, Tom And Travis Show (The Enema Strikes Back!) [Live]",2000,spotify:track:5TyHeZpXFaweWQxaihvmwH,Comedy Open Mic Night
PERCEPTION CHECK,Tom Cardy,PERCEPTION CHECK,2023-12-25,spotify:track:6o2nroFoqAxj7kSWLo6AGb,Comedy Open Mic Night
4 Chords,The Axis of Awesome,Animal Vehicle,2011-07-12,spotify:track:6yk79gDdiqe76K6qOWwvFV,Comedy Open Mic Night
Punk Rock Girl,The Dead Milkmen,Beelzebubba,1988-11-01,spotify:track:7GM4pXdPHflQqnV7s7VIKb,Comedy Open Mic Night
S.I.M.P. (Squirrels in My Pants),2 Guys n the Parque,Phineas And Ferb,2009-01-01,spotify:track:7ymrbUUrrqvUKBMmdRvieZ,Comedy Open Mic Night
Having An Average Weekend,Shadowy Men On A Shadowy Planet,Savvy Show Stoppers,2016-09-16,spotify:track:0LTm7F6XuGWNwrAvYF26N3,Unknown Artists
Shady Grove,Takénobu,Introduction,2007-01-01,spotify:track:0P8RzQvwo7vpduqzHeaj6F,Unknown Artists
Thank The Watchmaker,And Then There Were None,Who Speaks For Planet Earth?,2009-01-01,spotify:track:0T07eGx6rFnV3BF0RZ3NEQ,Unknown Artists
Sheesh,"Josh Sallee, Blev",Sheesh,2016-01-19,spotify:track:10g8Br8WouvUA20LYYHdJ7,Unknown Artists
Evil,Doom Flamingo,Peaches & Bobbi,2023-02-10,spotify:track:1iEgIujxhK3qT3uNWq1tZk,Unknown Artists
Morning Terrors Nights of Dread,Shilpa Ray,Door Girl,2017-09-22,spotify:track:1xRjHD0PGkH8i88nr86nJq,Unknown Artists
Horns Riot,"TRI4TH, Calmera",Horns Riot,2017-05-10,spotify:track:23Qd9pGRAGYvkW769SDCIg,Unknown Artists
Thorns,Mallory Merk,Thorns,2022-06-10,spotify:track:2fsDv1dsMkGh2cDTF6zhh3,Unknown Artists
Stockholm Syndrome,Greydon Square,The Kardashev Scale,2009-08-10,spotify:track:2KO8cVXAltJZMDCbts0iZR,Unknown Artists
Chest Hair,Sitting on Stacy,Perfectly Sane,2019-08-16,spotify:track:2NB0fTy1QjkqV2AHND7KXj,Unknown Artists
Somewhere Else,Introvert,Mending Breaking,2020-02-21,spotify:track:2tO2qq3k1hSVMDJbmG1aFp,Unknown Artists
COWBOY,Strawberry Fuzz,"Fuzz Tapes, Vol. 1",2021-10-01,spotify:track:2VLMFJ6TJRVARvZNDLLBIm,Unknown Artists
17,Of Allies,Night Sky,2017-11-17,spotify:track:31j95fiVw8NUKxgGd8pc6j,Unknown Artists
Four Eyes,KOPS,Four Eyes,2019-07-19,spotify:track:3wjKZXMHYJxl87v4bP8JVP,Unknown Artists
HOWLING IN THE MOONLIGHT,Seph Nomad,HOWLING IN THE MOONLIGHT,2022-10-15,spotify:track:3WRugaemtTyMAXLIKs5SQs,Unknown Artists
The Road Led Here,Martin Zellar,Head West,2023-10-06,spotify:track:42qQOUyW9bFLho4gYYLwwE,Unknown Artists
You Will Leave a Mark,A Silent Film,The City That Sleeps,2010-03-30,spotify:track:4AVRWkmpXXqE52K91vtXF5,Unknown Artists
From Gemini to Lynx,Moonlit Sailor,We Come from Exploding Stars,2014-02-25,spotify:track:4E0To9H9V5AlhieY4ytWlX,Unknown Artists
The Lost Spaceship,Alt236,Leviathan,2018-10-31,spotify:track:4EJlksi4sykRBGg56hWxzS,Unknown Artists
Queen for a Day,New Madrid,New Madrid,2021-04-30,spotify:track:4G64wMsYjyIo1EpiycHLPb,Unknown Artists
On Again Off Again,Riverboat Gamblers,To The Confusion Of Our Enemies,2006-04-25,spotify:track:4jdQ9Z3M7trjeFPtJ9ULPR,Unknown Artists
Seabird,Innovations,Seabird,1977,spotify:track:4l38jp3bDPcI5avo9ov482,Unknown Artists
Bleak Week,CATPISS,"Blood, Sweat & Beers",2023-12-01,spotify:track:56h5PBsVjWi67APa1HXVgs,Unknown Artists
Frog,"Ren Carter, Liv Grace",Frog,2021-07-14,spotify:track:5bceumJnptJewPRfZ3zu1U,Unknown Artists
Une très légère oscillation,ZERO GR4VITY,Une très légère oscillation,2021-02-26,spotify:track:5HwOD9q0OpRYmXcXad8hHV,Unknown Artists
Most Important Night of My Life,GB Leighton,It's All Good,2000-06-07,spotify:track:5OKq1Lu5FLY4lJfbw1pSjP,Unknown Artists
run it back,Dino Gala,Run it Back / Fire Escape,2021-04-25,spotify:track:5Wcc3fBgp1vjBmbxhHEXCR,Unknown Artists
Star Child - Short Version,Kallaloo,Star Child,2018-11-16,spotify:track:5zuQLCxFlSStfAk0h97LQW,Unknown Artists
I'm His Girl,Friends,Manifest!,2012,spotify:track:6dEUddMlyuUDESfVJ5nueO,Unknown Artists
Letters from a Travelling Man,Katherine Priddy,The Eternal Rocks Beneath,2021-06-25,spotify:track:6gSu1nAHbVbv5yZlr8Yx6C,Unknown Artists
To Satellite,Lower Definition,The Greatest Of All Lost Arts,2009-04-03,spotify:track:6Hs4HG9PkpqVyrfaX9f24G,Unknown Artists
